year,country,co2,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1751,UNITED KINGDOM,2552.0,47.897375,8.831875,1.59225
1752,UNITED KINGDOM,2553.0,43.2593,6.255166667,1.773833333
1753,UNITED KINGDOM,2553.0,47.16695,8.426083333,3.807083333
1754,UNITED KINGDOM,2554.0,47.0099,8.338833333,3.258916667
1755,UNITED KINGDOM,2555.0,46.4987,8.054833333,4.423916667
1756,UNITED KINGDOM,2731.0,47.36495,8.536083333,4.428333333
1757,UNITED KINGDOM,2732.0,47.30285,8.501583333,5.686666667
1758,UNITED KINGDOM,2733.0,45.8567,7.698166667,6.05025
1759,UNITED KINGDOM,2734.0,47.62775,8.682083333,5.861916667
1760,UNITED KINGDOM,2734.0,46.4597,8.033166667,5.041916667
1761,UNITED KINGDOM,2995.0,47.7749,8.763833333,3.884916667
1762,UNITED KINGDOM,2996.0,46.5647,8.0915,5.0455
1763,UNITED KINGDOM,2997.0,46.0034,7.779666667,4.3405
1764,UNITED KINGDOM,2998.0,46.63805,8.13225,4.481
1765,UNITED KINGDOM,2999.0,46.24925,7.91625,3.638333333
1766,UNITED KINGDOM,3346.0,46.65935,8.144083333,4.513833333
1767,UNITED KINGDOM,3347.0,46.5854,8.103,5.58175
1768,UNITED KINGDOM,3348.0,46.4636,8.035333333,5.8905
1769,UNITED KINGDOM,3349.0,46.6235,8.124166667,4.943083333
1770,UNITED KINGDOM,3350.0,46.31,7.95,6.374666667
1771,UNITED KINGDOM,3715.0,46.19315,7.885083333,5.242083333
1772,UNITED KINGDOM,3716.0,46.6811,8.156166667,5.14625
1773,UNITED KINGDOM,3717.0,46.84655,8.248083333,3.392
1774,UNITED KINGDOM,3718.0,46.49645,8.053583333,5.660166667
1775,UNITED KINGDOM,3719.0,48.1802,8.989,3.528
1776,UNITED KINGDOM,4104.0,46.68635,8.159083333,4.005083333
1777,UNITED KINGDOM,4105.0,46.8671,8.2595,3.36525
1778,UNITED KINGDOM,4106.0,47.71325,8.729583333,3.828583333
1779,UNITED KINGDOM,4107.0,49.3724,9.651333333,4.511666667
1780,UNITED KINGDOM,4109.0,47.7749,8.763833333,3.220333333
1781,UNITED KINGDOM,4597.0,48.80825,9.337916667,3.88575
1782,UNITED KINGDOM,4598.0,45.19175,7.32875,4.913416667
1783,UNITED KINGDOM,4600.0,47.5145,8.619166667,3.806083333
1784,UNITED KINGDOM,4601.0,45.32165,7.400916667,5.6235
1785,UNITED KINGDOM,4603.0,45.9956,7.775333333,4.304083333
1786,UNITED KINGDOM,5226.0,45.66635,7.592416667,4.57275
1787,UNITED KINGDOM,5228.0,47.4992,8.610666667,4.915083333
1788,UNITED KINGDOM,5229.0,47.3789,8.543833333,3.529916667
1789,UNITED KINGDOM,5231.0,47.2292,8.460666667,3.34025
1790,UNITED KINGDOM,5233.0,47.7503,8.750166667,3.702333333
1791,UNITED KINGDOM,5845.0,47.62205,8.678916667,3.064416667
1792,GERMANY,128.0,46.7627,8.2015,2.967583333
1792,UNITED KINGDOM,5847.0,47.51195,8.61775,3.050166667
1793,GERMANY,131.0,47.1422,8.412333333,4.593083333
1793,UNITED KINGDOM,5849.0,47.4542,8.585666667,4.426416667
1794,GERMANY,121.0,48.4322,9.129,4.398083333
1794,UNITED KINGDOM,5850.0,48.24365,9.02425,4.143583333
1795,GERMANY,122.0,46.46765,8.037583333,4.472333333
1795,UNITED KINGDOM,5852.0,46.80845,8.226916667,4.339666667
1796,CANADA,1.0,33.42688571,0.792714286,3.175571429
1796,GERMANY,146.0,46.72235,8.179083333,3.536666667
1796,UNITED KINGDOM,6117.0,47.34635,8.52575,3.464916667
1797,CANADA,1.0,15.044,-9.42,2.866166667
1797,GERMANY,150.0,48.2417,9.023166667,3.8525
1797,UNITED KINGDOM,6425.0,47.45975,8.58875,3.716416667
1798,GERMANY,157.0,47.29235,8.49575,3.388166667
1798,UNITED KINGDOM,6691.0,48.0755,8.930833333,3.246416667
1799,GERMANY,171.0,43.36355,6.313083333,3.005833333
1799,UNITED KINGDOM,7041.0,44.98715,7.215083333,3.029
1800,GERMANY,217.0,46.592,8.106666667,2.942
1800,POLAND,111.0,44.95655,7.198083333,3.0285
1800,UNITED KINGDOM,7269.0,46.86305,8.25725,2.736416667
1801,GERMANY,146.0,47.8592,8.810666667,2.402666667
1801,POLAND,121.0,47.22005,8.455583333,2.560416667
1801,UNITED KINGDOM,7290.0,47.6126,8.673666667,2.379083333
1802,BELGIUM,1746.0,48.8468,9.359333333,2.679583333
1802,GERMANY,151.0,46.868,8.26,2.783166667
1802,POLAND,123.0,46.5854,8.103,2.817833333
1802,UNITED KINGDOM,7328.0,47.09495,8.386083333,2.542666667
1803,GERMANY,146.0,45.23765,7.35425,3.0145
1803,POLAND,126.0,43.6421,6.467833333,3.0405
1803,UNITED KINGDOM,8240.0,46.54805,8.08225,2.76825
1804,GERMANY,275.0,46.10945,7.838583333,3.502
1804,POLAND,125.0,44.32625,6.847916667,3.427
1804,UNITED KINGDOM,8278.0,47.22185,8.456583333,3.369666667
1805,GERMANY,284.0,43.6541,6.4745,2.641916667
1805,POLAND,156.0,42.5984,5.888,2.50675
1805,UNITED KINGDOM,8587.0,46.37765,7.987583333,2.574583333
1806,GERMANY,256.0,48.0167,8.898166667,2.49325
1806,POLAND,142.0,46.8935,8.274166667,2.626166667
1806,UNITED KINGDOM,9075.0,47.54705,8.63725,2.531916667
1807,AUSTRIA,46.0,44.1893,6.771833333,2.807416667
1807,GERMANY,734.0,47.29415,8.49675,2.86725
1807,POLAND,103.0,46.7312,8.184,2.808083333
1807,UNITED KINGDOM,9077.0,46.20755,7.893083333,2.7805
1808,GERMANY,245.0,45.16865,7.315916667,2.847083333
1808,POLAND,137.0,44.18525,6.769583333,2.881333333
1808,UNITED KINGDOM,9080.0,46.33535,7.964083333,2.780333333
1809,GERMANY,254.0,46.139,7.855,3.696416667
1809,POLAND,129.0,44.65415,7.030083333,3.712333333
1809,UNITED KINGDOM,9083.0,46.1636,7.868666667,3.472083333
1810,GERMANY,267.0,45.9419,7.7455,3.999833333
1810,POLAND,155.0,44.639,7.021666667,3.96875
1810,UNITED KINGDOM,9086.0,45.99275,7.77375,3.78975
1811,CANADA,1.0,23.5346,-4.703,2.7422
1811,GERMANY,253.0,48.4589,9.143833333,4.024
1811,POLAND,161.0,47.09675,8.387083333,3.9545
1811,UNITED KINGDOM,9706.0,47.63915,8.688416667,3.824583333
1812,CANADA,1.0,19.32605,-7.041083333,3.00675
1812,GERMANY,249.0,44.17325,6.762916667,3.093583333
1812,POLAND,124.0,42.7361,5.9645,3.111166667
1812,UNITED KINGDOM,10081.0,45.4703,7.4835,2.932333333
1813,CANADA,1.0,25.8882,-3.395444444,2.991
1813,GERMANY,243.0,45.8291,7.682833333,3.35625
1813,POLAND,104.0,44.80265,7.112583333,3.400833333
1813,UNITED KINGDOM,10201.0,46.71035,8.172416667,3.171083333
1814,CANADA,1.0,14.3192,-9.822666667,3.041333333
1814,GERMANY,241.0,44.258,6.81,3.53225
1814,POLAND,137.0,43.1291,6.182833333,3.54775
1814,UNITED KINGDOM,10395.0,44.951,7.195,3.344666667
1815,CANADA,1.0,20.4629,-6.4095,2.867916667
1815,GERMANY,281.0,45.73745,7.631916667,3.356
1815,POLAND,161.0,43.80245,6.556916667,3.40625
1815,UNITED KINGDOM,10623.0,46.33265,7.962583333,3.439833333
1816,CANADA,1.0,12.247475,-10.973625,2.972625
1816,GERMANY,651.0,44.1758,6.764333333,3.5885
1816,POLAND,185.0,43.8641,6.591166667,3.599083333
1816,UNITED KINGDOM,11309.0,44.67245,7.04025,3.495416667
1817,CANADA,1.0,20.0666,-6.629666667,2.733666667
1817,GERMANY,923.0,46.30835,7.949083333,3.008333333
1817,POLAND,203.0,45.44615,7.470083333,3.05025
1817,UNITED KINGDOM,11442.0,46.1861,7.881166667,2.98975
1818,CANADA,1.0,17.61242,-7.9931,2.712
1818,GERMANY,964.0,46.9055,8.280833333,3.78925
1818,POLAND,252.0,45.56465,7.535916667,3.699583333
1818,UNITED KINGDOM,11469.0,47.7395,8.744166667,3.523583333
1819,AUSTRIA,69.0,43.6865,6.4925,2.59025
1819,CANADA,1.0,-8.7088,-22.616,3.175666667
1819,GERMANY,894.0,47.4554,8.586333333,2.698583333
1819,POLAND,207.0,46.1027,7.834833333,2.661583333
1819,UNITED KINGDOM,11555.0,47.0414,8.356333333,2.682333333
1820,AUSTRIA,91.0,42.0797,5.599833333,2.649833333
1820,CANADA,1.0,20.891,-6.171666667,3.35125
1820,GERMANY,923.0,44.92175,7.17875,2.637666667
1820,POLAND,204.0,44.0555,6.6975,2.766916667
1820,UNITED KINGDOM,11607.0,46.09475,7.830416667,2.529666667
1821,AUSTRIA,98.0,42.93155,6.073083333,2.4565
1821,CANADA,1.0,21.9914,-5.560333333,3.246583333
1821,GERMANY,964.0,46.78805,8.215583333,2.564583333
1821,POLAND,226.0,45.48425,7.49125,2.54325
1821,UNITED KINGDOM,11701.0,47.64905,8.693916667,2.47975
1822,AUSTRIA,100.0,45.37115,7.428416667,2.13775
1822,CANADA,1.0,21.5237,-5.820166667,3.056333333
1822,GERMANY,991.0,48.8276,9.348666667,2.195166667
1822,POLAND,248.0,47.5103,8.616833333,2.193833333
1822,UNITED KINGDOM,12151.0,48.4334,9.129666667,2.036833333
1823,AUSTRIA,95.0,42.4769,5.8205,2.380833333
1823,CANADA,1.0,20.61785,-6.323416667,2.962083333
1823,GERMANY,1101.0,45.6722,7.595666667,2.273583333
1823,POLAND,333.0,44.91695,7.176083333,2.413083333
1823,UNITED KINGDOM,12793.0,46.03115,7.795083333,2.223333333
1824,AUSTRIA,109.0,43.74785,6.526583333,2.44125
1824,CANADA,1.0,22.69115,-5.171583333,2.959166667
1824,GERMANY,882.0,47.41835,8.56575,2.448833333
1824,POLAND,348.0,46.90535,8.28075,2.56075
1824,UNITED KINGDOM,13396.0,47.47685,8.59825,2.597
1825,AUSTRIA,110.0,43.81685,6.564916667,2.298083333
1825,CANADA,1.0,22.7273,-5.1515,3.015583333
1825,GERMANY,1184.0,47.68055,8.711416667,2.241166667
1825,POLAND,362.0,45.9821,7.767833333,2.363833333
1825,UNITED KINGDOM,13535.0,48.1058,8.947666667,2.208166667
1826,AUSTRIA,125.0,43.29785,6.276583333,2.204833333
1826,CANADA,1.0,22.7021,-5.1655,2.80275
1826,GERMANY,1143.0,47.39195,8.551083333,2.154666667
1826,POLAND,333.0,46.09475,7.830416667,2.187583333
1826,UNITED KINGDOM,13686.0,48.4259,9.1255,2.459833333
1827,AUSTRIA,130.0,43.3286,6.293666667,2.197
1827,CANADA,1.0,23.63765,-4.64575,2.80975
1827,GERMANY,1239.0,46.67285,8.151583333,2.166666667
1827,POLAND,357.0,46.11965,7.84425,2.230166667
1827,UNITED KINGDOM,14255.0,47.28245,8.49025,2.31325
1828,AUSTRIA,125.0,43.42955,6.34975,2.427333333
1828,CANADA,1.0,22.8257,-5.096833333,2.560083333
1828,GERMANY,1239.0,47.13995,8.411083333,2.341166667
1828,POLAND,330.0,44.7926,7.107,2.455833333
1828,UNITED KINGDOM,14353.0,48.40025,9.11125,2.45075
1829,AUSTRIA,130.0,39.63215,4.240083333,2.714916667
