year,country,co2,yr_avg_temp_f,yr_avg_temp_c,yr_avg_temp_uncertainty
1751,UNITED KINGDOM,2552,47.897375,8.831875,1.5922499999999995
1752,UNITED KINGDOM,2553,43.2593,6.255166666666668,1.7738333333333334
1753,UNITED KINGDOM,2553,47.16695000000001,8.426083333333333,3.807083333333333
1754,UNITED KINGDOM,2554,47.00990000000001,8.338833333333332,3.2589166666666665
1755,UNITED KINGDOM,2555,46.49870000000001,8.054833333333333,4.423916666666667
1756,UNITED KINGDOM,2731,47.36495,8.536083333333332,4.428333333333334
1757,UNITED KINGDOM,2732,47.30285000000002,8.501583333333334,5.6866666666666665
1758,UNITED KINGDOM,2733,45.8567,7.6981666666666655,6.050249999999999
1759,UNITED KINGDOM,2734,47.62774999999999,8.682083333333333,5.861916666666667
1760,UNITED KINGDOM,2734,46.45970000000001,8.033166666666666,5.041916666666666
1761,UNITED KINGDOM,2995,47.77490000000001,8.763833333333332,3.884916666666667
1762,UNITED KINGDOM,2996,46.5647,8.0915,5.0455
1763,UNITED KINGDOM,2997,46.003400000000006,7.779666666666667,4.3405000000000005
1764,UNITED KINGDOM,2998,46.63805,8.132249999999999,4.481
1765,UNITED KINGDOM,2999,46.24925,7.916250000000002,3.638333333333335
1766,UNITED KINGDOM,3346,46.65935,8.144083333333333,4.513833333333333
1767,UNITED KINGDOM,3347,46.58539999999999,8.103,5.58175
1768,UNITED KINGDOM,3348,46.46360000000001,8.035333333333332,5.8904999999999985
1769,UNITED KINGDOM,3349,46.6235,8.124166666666666,4.943083333333333
1770,UNITED KINGDOM,3350,46.31,7.95,6.374666666666667
1771,UNITED KINGDOM,3715,46.19315,7.885083333333334,5.2420833333333325
1772,UNITED KINGDOM,3716,46.6811,8.156166666666666,5.146249999999998
1773,UNITED KINGDOM,3717,46.84655,8.248083333333334,3.3919999999999995
1774,UNITED KINGDOM,3718,46.49644999999999,8.053583333333334,5.660166666666666
1775,UNITED KINGDOM,3719,48.180200000000006,8.988999999999997,3.528
1776,UNITED KINGDOM,4104,46.68635,8.159083333333333,4.005083333333333
1777,UNITED KINGDOM,4105,46.86709999999999,8.259500000000001,3.36525
1778,UNITED KINGDOM,4106,47.71325,8.729583333333334,3.828583333333334
1779,UNITED KINGDOM,4107,49.372400000000006,9.651333333333334,4.511666666666667
1780,UNITED KINGDOM,4109,47.7749,8.763833333333334,3.220333333333334
1781,UNITED KINGDOM,4597,48.80825,9.337916666666667,3.88575
1782,UNITED KINGDOM,4598,45.191750000000006,7.32875,4.9134166666666665
1783,UNITED KINGDOM,4600,47.5145,8.619166666666667,3.8060833333333335
1784,UNITED KINGDOM,4601,45.32165,7.400916666666667,5.6235
1785,UNITED KINGDOM,4603,45.9956,7.775333333333332,4.304083333333334
1786,UNITED KINGDOM,5226,45.66635,7.592416666666668,4.57275
1787,UNITED KINGDOM,5228,47.4992,8.610666666666667,4.9150833333333335
1788,UNITED KINGDOM,5229,47.3789,8.543833333333334,3.529916666666667
1789,UNITED KINGDOM,5231,47.2292,8.460666666666668,3.34025
1790,UNITED KINGDOM,5233,47.7503,8.750166666666667,3.702333333333333
1791,UNITED KINGDOM,5845,47.62205,8.678916666666664,3.0644166666666663
1792,GERMANY,128,46.7627,8.201500000000001,2.967583333333333
1792,UNITED KINGDOM,5847,47.51195000000001,8.61775,3.0501666666666662
1793,GERMANY,131,47.1422,8.412333333333333,4.593083333333333
1793,UNITED KINGDOM,5849,47.45420000000001,8.585666666666668,4.4264166666666656
1794,GERMANY,121,48.4322,9.129,4.398083333333333
1794,UNITED KINGDOM,5850,48.24365000000001,9.02425,4.143583333333333
1795,GERMANY,122,46.46765,8.037583333333334,4.472333333333333
1795,UNITED KINGDOM,5852,46.80845,8.226916666666668,4.339666666666667
1796,CANADA,1,33.42688571428572,0.7927142857142851,3.1755714285714283
1796,GERMANY,146,46.72235000000001,8.179083333333333,3.536666666666666
1796,UNITED KINGDOM,6117,47.34635,8.52575,3.4649166666666664
1797,CANADA,1,15.044,-9.42,2.866166666666667
1797,GERMANY,150,48.24169999999999,9.023166666666668,3.8525
1797,UNITED KINGDOM,6425,47.45974999999999,8.58875,3.716416666666667
1798,GERMANY,157,47.292350000000006,8.495750000000001,3.3881666666666668
1798,UNITED KINGDOM,6691,48.07550000000001,8.930833333333332,3.2464166666666667
1799,GERMANY,171,43.36355,6.313083333333332,3.0058333333333334
1799,UNITED KINGDOM,7041,44.98714999999999,7.215083333333332,3.0290000000000004
1800,GERMANY,217,46.59200000000001,8.106666666666667,2.9419999999999997
1800,POLAND,111,44.95654999999999,7.198083333333333,3.0285
1800,UNITED KINGDOM,7269,46.86305000000001,8.25725,2.736416666666667
1801,GERMANY,146,47.8592,8.810666666666664,2.4026666666666667
